model_name,linear_regression_slope,t_test_p_value,mk_test_p_value
unsafe-9,-1.8971407639795266e-05,9.994062414813632e-14,0.05450135514512816
unsafe-7,8.832943889817971e-06,1.0,0.508807999254129
unsafe-8,-2.1175321874668886e-05,0.999999991224074,0.034771849888522686
unsafe-5,-7.877887764385583e-06,1.0,0.5865171058852621
vc-unsafe-4,-1.6374152343664105e-05,9.620779519872074e-177,0.1893541239460088
vc-unsafe-3,-1.777870076134924e-05,8.701163279647006e-22,0.07146310592668144
vc-unsafe-1,-1.4489559492350647e-05,2.067517625409371e-67,0.18162203798429066
vc-unsafe-2,-7.822917036045102e-06,2.0521914345304763e-213,0.3708552890990845
vc-unsafe-0,-1.6903752116735974e-05,1.0,0.21393203999595245
vc-unsafe-6,-3.240344369769189e-05,8.323441324042743e-130,0.005690981623539196
