model_name,linear_regression_slope,t_test_p_value,mk_test_p_value
unsafe-9,-2.9474962825096394e-05,1.0,0.00016985379486053118
unsafe-7,-1.2113438056765096e-05,1.0,0.16987028516409075
unsafe-8,-3.0845200266178776e-05,3.2674485328700806e-290,6.163445725389966e-05
unsafe-5,-1.6151203192026283e-05,1.0,0.051686281919312065
vc-unsafe-4,-1.717519493268149e-05,0.0,0.025155647458799352
vc-unsafe-3,-2.2455867483841224e-05,1.1266307537361631e-08,0.015497728983243846
vc-unsafe-1,-2.2430259059344032e-05,0.0,0.006542237024457793
vc-unsafe-2,-1.591367132078613e-05,0.0,0.03923219681487197
vc-unsafe-0,-1.8342963763492347e-05,1.0,0.08013381604683631
vc-unsafe-6,-3.249600471624476e-05,1.8030068504836365e-97,0.00030388716176174454
