model_name,linear_regression_slope,t_test_p_value,mk_test_p_value
unsafe-9,-9.33478411228786e-05,0.0,4.804885370623227e-22
unsafe-7,-6.644981532816505e-05,0.0,7.381331167622834e-13
unsafe-8,-8.456132479551898e-05,0.0,1.777773539662273e-18
unsafe-5,-7.950804079256571e-05,0.0,7.827254909648643e-14
vc-unsafe-4,-7.983821724611398e-05,0.0,2.6705825259591034e-15
vc-unsafe-3,-7.689704583178302e-05,0.0,1.0246022400040303e-14
vc-unsafe-1,-8.353593274483041e-05,0.0,3.1143780185721556e-17
vc-unsafe-2,-7.222725572316489e-05,0.0,1.100983007325105e-13
vc-unsafe-0,-7.319781126206845e-05,0.0,2.3308690905418242e-12
vc-unsafe-6,-8.314315437205435e-05,0.0,2.2929499472156484e-18
